Mention,Start index,End index,Title,Wikipedia link
קורין,2,2,קורין (תרכובת הטרצויקלית),https://he.wikipedia.org/wiki/קורין (תרכובת הטרצויקלית)
קורין,2,2,קורין רדגרייב,https://he.wikipedia.org/wiki/קורין רדגרייב
קורין,2,2,קורין רווזלט רובינסון,https://he.wikipedia.org/wiki/קורין רווזלט רובינסון
את,3,3,את,https://he.wikipedia.org/wiki/את
את,3,3,את (כלי),https://he.wikipedia.org/wiki/את (כלי)
את,3,3,את (כתב את),https://he.wikipedia.org/wiki/את (כתב את)
את,3,3,את (כתב עת),https://he.wikipedia.org/wiki/את (כתב עת)
את,3,3,את (מילת יחס),https://he.wikipedia.org/wiki/את (מילת יחס)
את,3,3,את כולכם לרבע שעה,https://he.wikipedia.org/wiki/את כולכם לרבע שעה
שמע,4,4,הקלטה דיגיטלית,https://he.wikipedia.org/wiki/הקלטה דיגיטלית
שמע,4,4,מערכת השמיעה,https://he.wikipedia.org/wiki/מערכת השמיעה
שמע,4,4,מערכת שמע,https://he.wikipedia.org/wiki/מערכת שמע
שמע,4,4,ספר מוקלט,https://he.wikipedia.org/wiki/ספר מוקלט
שמע,4,4,קול,https://he.wikipedia.org/wiki/קול
שמע,4,4,קלטת שמע,https://he.wikipedia.org/wiki/קלטת שמע
שמע,4,4,קריאת שמע,https://he.wikipedia.org/wiki/קריאת שמע
שמע,4,4,שמיעה,https://he.wikipedia.org/wiki/שמיעה
שמע,4,4,שמע,https://he.wikipedia.org/wiki/שמע
שמע,4,4,שמע ישראל,https://he.wikipedia.org/wiki/שמע ישראל
שמע,4,4,תדרי שמע,https://he.wikipedia.org/wiki/תדרי שמע
שמע,4,4,תחום השמע,https://he.wikipedia.org/wiki/תחום השמע
שהכהנים,7,7,כהן,https://he.wikipedia.org/wiki/כהן
לאכול,9,9,אוכל,https://he.wikipedia.org/wiki/אוכל
לאכול,9,9,אכילה,https://he.wikipedia.org/wiki/אכילה
לאכול,9,9,אכילה בסוכה,https://he.wikipedia.org/wiki/אכילה בסוכה
לאכול,9,9,בשר,https://he.wikipedia.org/wiki/בשר
עד,11,11,ד (בית כנסת),https://he.wikipedia.org/wiki/ד (בית כנסת)
עד,11,11,עד,https://he.wikipedia.org/wiki/עד
עד,11,11,עד (מתמטיקה),https://he.wikipedia.org/wiki/עד (מתמטיקה)
עד,11,11,עדות,https://he.wikipedia.org/wiki/עדות
עד,11,11,עדות (הלכה),https://he.wikipedia.org/wiki/עדות (הלכה)
סוף,12,12,סוף,https://he.wikipedia.org/wiki/סוף
סוף,12,12,סוף (פירושונים),https://he.wikipedia.org/wiki/סוף (פירושונים)
סוף,12,12,סוף מצוי,https://he.wikipedia.org/wiki/סוף מצוי
סוף,12,12,קץ המאה,https://he.wikipedia.org/wiki/קץ המאה
הראשונה,14,14,אירוויזיון 1956,https://he.wikipedia.org/wiki/אירוויזיון 1956
הראשונה,14,14,אמנת ז'נבה הראשונה,https://he.wikipedia.org/wiki/אמנת ז'נבה הראשונה
הראשונה,14,14,ארמיית המשמר הראשונה (ברית המועצות),https://he.wikipedia.org/wiki/ארמיית המשמר הראשונה (ברית המועצות)
הראשונה,14,14,ארמיית הפאנצר הראשונה,https://he.wikipedia.org/wiki/ארמיית הפאנצר הראשונה
הראשונה,14,14,דיוויזיית הנחתים הראשונה,https://he.wikipedia.org/wiki/דיוויזיית הנחתים הראשונה
הראשונה,14,14,דיוויזיית הפאנצר הראשונה (ורמאכט),https://he.wikipedia.org/wiki/דיוויזיית הפאנצר הראשונה (ורמאכט)
הראשונה,14,14,האיגרת הראשונה אל טימותיוס,https://he.wikipedia.org/wiki/האיגרת הראשונה אל טימותיוס
הראשונה,14,14,האינתיפאדה הראשונה,https://he.wikipedia.org/wiki/האינתיפאדה הראשונה
הראשונה,14,14,האספה המכוננת,https://he.wikipedia.org/wiki/האספה המכוננת
הראשונה,14,14,הארמייה הראשונה (ארצות הברית),https://he.wikipedia.org/wiki/הארמייה הראשונה (ארצות הברית)
הראשונה,14,14,הארמייה הראשונה (בריטניה),https://he.wikipedia.org/wiki/הארמייה הראשונה (בריטניה)
הראשונה,14,14,הארמייה הראשונה (האימפריה הגרמנית),https://he.wikipedia.org/wiki/הארמייה הראשונה (האימפריה הגרמנית)
הראשונה,14,14,הארמייה הראשונה (האימפריה הרוסית),https://he.wikipedia.org/wiki/הארמייה הראשונה (האימפריה הרוסית)
הראשונה,14,14,הארמייה הראשונה (הונגריה),https://he.wikipedia.org/wiki/הארמייה הראשונה (הונגריה)
הראשונה,14,14,הארמייה הראשונה (צרפת),https://he.wikipedia.org/wiki/הארמייה הראשונה (צרפת)
הראשונה,14,14,הארמייה הראשונה (רומניה),https://he.wikipedia.org/wiki/הארמייה הראשונה (רומניה)
הראשונה,14,14,הבחירות לאספה המכוננת,https://he.wikipedia.org/wiki/הבחירות לאספה המכוננת
הראשונה,14,14,הדיוויזיה הראשונה (סוריה),https://he.wikipedia.org/wiki/הדיוויזיה הראשונה (סוריה)
הראשונה,14,14,החזית האוקראינית הראשונה,https://he.wikipedia.org/wiki/החזית האוקראינית הראשונה
הראשונה,14,14,הכנסת הראשונה,https://he.wikipedia.org/wiki/הכנסת הראשונה
הראשונה,14,14,המאה ה-1,https://he.wikipedia.org/wiki/המאה ה-1
הראשונה,14,14,המאה הראשונה,https://he.wikipedia.org/wiki/המאה הראשונה
הראשונה,14,14,המאה הראשונה לספירה,https://he.wikipedia.org/wiki/המאה הראשונה לספירה
הראשונה,14,14,המכביה הראשונה,https://he.wikipedia.org/wiki/המכביה הראשונה
הראשונה,14,14,המלחמה הברברית הראשונה,https://he.wikipedia.org/wiki/המלחמה הברברית הראשונה
הראשונה,14,14,המלחמה המוקדונית הראשונה,https://he.wikipedia.org/wiki/המלחמה המוקדונית הראשונה
הראשונה,14,14,המלחמה הפונית הראשונה,https://he.wikipedia.org/wiki/המלחמה הפונית הראשונה
הראשונה,14,14,הממשלה ה-29,https://he.wikipedia.org/wiki/הממשלה ה-29
הראשונה,14,14,הסימפוניה הראשונה של בטהובן,https://he.wikipedia.org/wiki/הסימפוניה הראשונה של בטהובן
הראשונה,14,14,העלייה הראשונה,https://he.wikipedia.org/wiki/העלייה הראשונה
הראשונה,14,14,העלייה השנייה,https://he.wikipedia.org/wiki/העלייה השנייה
הראשונה,14,14,הראשונה,https://he.wikipedia.org/wiki/הראשונה
