Mention,Start index,End index,Title,Wikipedia link
ישיבת,0,0,ישיבה,https://he.wikipedia.org/wiki/ישיבה
ישיבת,0,0,ישיבת בית ישראל ודמשק אליעזר,https://he.wikipedia.org/wiki/ישיבת בית ישראל ודמשק אליעזר
ישיבת,0,0,ישיבת הסדר,https://he.wikipedia.org/wiki/ישיבת הסדר
ישיבת,0,0,כולל אברכים,https://he.wikipedia.org/wiki/כולל אברכים
חייא,1,1,חייא,https://he.wikipedia.org/wiki/חייא
חייא,1,1,חייא בר רב,https://he.wikipedia.org/wiki/חייא בר רב
של,2,2,אורסטס (מחזה),https://he.wikipedia.org/wiki/אורסטס (מחזה)
של,2,2,דניאל מורשת,https://he.wikipedia.org/wiki/דניאל מורשת
של,2,2,האוניברסיטה הפתוחה,https://he.wikipedia.org/wiki/האוניברסיטה הפתוחה
של,2,2,לא לגלות ערוות אם,https://he.wikipedia.org/wiki/לא לגלות ערוות אם
של,2,2,מיון של,https://he.wikipedia.org/wiki/מיון של
של,2,2,של,https://he.wikipedia.org/wiki/של
של,2,2,של (מילת יחס),https://he.wikipedia.org/wiki/של (מילת יחס)
של,2,2,של אויל קומפני,https://he.wikipedia.org/wiki/של אויל קומפני
פומבדיתא,3,3,ישיבת פומבדיתא,https://he.wikipedia.org/wiki/ישיבת פומבדיתא
פומבדיתא,3,3,פומבדיתא,https://he.wikipedia.org/wiki/פומבדיתא
פלוגתא,4,4,בר פלוגתא,https://he.wikipedia.org/wiki/בר פלוגתא
בר,5,5,בר,https://he.wikipedia.org/wiki/בר
בר,5,5,בר (יחידה),https://he.wikipedia.org/wiki/בר (יחידה)
בר,5,5,בר (מונטנגרו),https://he.wikipedia.org/wiki/בר (מונטנגרו)
בר,5,5,בר (מחוז),https://he.wikipedia.org/wiki/בר (מחוז)
בר,5,5,בר (מידה),https://he.wikipedia.org/wiki/בר (מידה)
בר,5,5,בר (נהר),https://he.wikipedia.org/wiki/בר (נהר)
בר,5,5,בר (עסק),https://he.wikipedia.org/wiki/בר (עסק)
בר,5,5,בר מצווה,https://he.wikipedia.org/wiki/בר מצווה
בר,5,5,בר שפע,https://he.wikipedia.org/wiki/בר שפע
בר,5,5,חזיר בר,https://he.wikipedia.org/wiki/חזיר בר
בר,5,5,חיית בר,https://he.wikipedia.org/wiki/חיית בר
בר,5,5,חיליק בר,https://he.wikipedia.org/wiki/חיליק בר
בר,5,5,חית בר,https://he.wikipedia.org/wiki/חית בר
בר,5,5,מועדון לילה,https://he.wikipedia.org/wiki/מועדון לילה
בר,5,5,נתיב (לשכת הקשר),https://he.wikipedia.org/wiki/נתיב (לשכת הקשר)
בר,5,5,פאב,https://he.wikipedia.org/wiki/פאב
בר,5,5,פרידריך בר,https://he.wikipedia.org/wiki/פרידריך בר
בר,5,5,צמח בר,https://he.wikipedia.org/wiki/צמח בר
בר,5,5,שרגא בר,https://he.wikipedia.org/wiki/שרגא בר
הדור,6,6,בית הדור,https://he.wikipedia.org/wiki/בית הדור
הדור,6,6,דור (תקופה),https://he.wikipedia.org/wiki/דור (תקופה)
הדור,6,6,הדור,https://he.wikipedia.org/wiki/הדור
הדור,6,6,הדור (כתב עת),https://he.wikipedia.org/wiki/הדור (כתב עת)
הדור,6,6,הדור (כתב-עת),https://he.wikipedia.org/wiki/הדור (כתב-עת)
הדור,6,6,הדור (עיתון),https://he.wikipedia.org/wiki/הדור (עיתון)
הדור,6,6,הדור לורינדול,https://he.wikipedia.org/wiki/הדור לורינדול
אביי,7,7,אביי,https://he.wikipedia.org/wiki/אביי
אביי,7,7,אביי (מחוז),https://he.wikipedia.org/wiki/אביי (מחוז)
יהודה,8,8,אברהם שלום יהודה,https://he.wikipedia.org/wiki/אברהם שלום יהודה
יהודה,8,8,איגרת יהודה,https://he.wikipedia.org/wiki/איגרת יהודה
יהודה,8,8,ארץ יהודה,https://he.wikipedia.org/wiki/ארץ יהודה
יהודה,8,8,ארץ ישראל בתקופה הרומית,https://he.wikipedia.org/wiki/ארץ ישראל בתקופה הרומית
יהודה,8,8,דרום יהודה,https://he.wikipedia.org/wiki/דרום יהודה
יהודה,8,8,הרי יהודה,https://he.wikipedia.org/wiki/הרי יהודה
יהודה,8,8,השפלה,https://he.wikipedia.org/wiki/השפלה
יהודה,8,8,התקופה הרומית בארץ ישראל,https://he.wikipedia.org/wiki/התקופה הרומית בארץ ישראל
יהודה,8,8,חבורת יהודה,https://he.wikipedia.org/wiki/חבורת יהודה
יהודה,8,8,חבל יהודה,https://he.wikipedia.org/wiki/חבל יהודה
יהודה,8,8,יהוד מדינתא,https://he.wikipedia.org/wiki/יהוד מדינתא
יהודה,8,8,יהודה,https://he.wikipedia.org/wiki/יהודה
יהודה,8,8,יהודה (דמות מקראית),https://he.wikipedia.org/wiki/יהודה (דמות מקראית)
יהודה,8,8,יהודה (חבל ארץ),https://he.wikipedia.org/wiki/יהודה (חבל ארץ)
יהודה,8,8,יהודה (פרובינקיה),https://he.wikipedia.org/wiki/יהודה (פרובינקיה)
יהודה,8,8,יהודה (שבט),https://he.wikipedia.org/wiki/יהודה (שבט)
יהודה,8,8,יהודה אבן וירגה,https://he.wikipedia.org/wiki/יהודה אבן וירגה
יהודה,8,8,יהודה איש קריות,https://he.wikipedia.org/wiki/יהודה איש קריות
יהודה,8,8,יהודה בן מרימר,https://he.wikipedia.org/wiki/יהודה בן מרימר
יהודה,8,8,יהודה בן רבי חייא,https://he.wikipedia.org/wiki/יהודה בן רבי חייא
יהודה,8,8,יהודה ברג,https://he.wikipedia.org/wiki/יהודה ברג
יהודה,8,8,יהודה ברוניצקי,https://he.wikipedia.org/wiki/יהודה ברוניצקי
יהודה,8,8,יהודה בריה דרב חייא,https://he.wikipedia.org/wiki/יהודה בריה דרב חייא
יהודה,8,8,יהודה ברנשטיין,https://he.wikipedia.org/wiki/יהודה ברנשטיין
יהודה,8,8,יהודה גרובייס,https://he.wikipedia.org/wiki/יהודה גרובייס
יהודה,8,8,יהודה החסיד,https://he.wikipedia.org/wiki/יהודה החסיד
יהודה,8,8,יהודה המכבי,https://he.wikipedia.org/wiki/יהודה המכבי
יהודה,8,8,יהודה המקבי,https://he.wikipedia.org/wiki/יהודה המקבי
יהודה,8,8,יהודה ושומרון,https://he.wikipedia.org/wiki/יהודה ושומרון
יהודה,8,8,יהודה זיו,https://he.wikipedia.org/wiki/יהודה זיו
יהודה,8,8,יהודה ייטלס,https://he.wikipedia.org/wiki/יהודה ייטלס
יהודה,8,8,יהודה מוזס,https://he.wikipedia.org/wiki/יהודה מוזס
יהודה,8,8,יהודה ריינהרץ,https://he.wikipedia.org/wiki/יהודה ריינהרץ
יהודה,8,8,יהודה רייס,https://he.wikipedia.org/wiki/יהודה רייס
יהודה,8,8,יהודה שרת,https://he.wikipedia.org/wiki/יהודה שרת
יהודה,8,8,מלכות יהודה,https://he.wikipedia.org/wiki/מלכות יהודה
יהודה,8,8,ממלכת החשמונאים,https://he.wikipedia.org/wiki/ממלכת החשמונאים
יהודה,8,8,ממלכת יהודה,https://he.wikipedia.org/wiki/ממלכת יהודה
יהודה,8,8,ממלכת ישראל,https://he.wikipedia.org/wiki/ממלכת ישראל
יהודה,8,8,נציבות יהודה,https://he.wikipedia.org/wiki/נציבות יהודה
יהודה,8,8,פרובינקיה יודיאה,https://he.wikipedia.org/wiki/פרובינקיה יודיאה
יהודה,8,8,פרובינקיית יהודה,https://he.wikipedia.org/wiki/פרובינקיית יהודה
יהודה,8,8,שבט יהודה,https://he.wikipedia.org/wiki/שבט יהודה
יהודה,8,8,שיבת ציון,https://he.wikipedia.org/wiki/שיבת ציון
יהודה,8,8,תקופת בית שני,https://he.wikipedia.org/wiki/תקופת בית שני
יהודה,8,8,תקופת הנציבות,https://he.wikipedia.org/wiki/תקופת הנציבות
ראש,9,9,איאן ראש,https://he.wikipedia.org/wiki/איאן ראש
ראש,9,9,מפקד (תפקיד),https://he.wikipedia.org/wiki/מפקד (תפקיד)
ראש,9,9,פרוטומה,https://he.wikipedia.org/wiki/פרוטומה
ראש,9,9,ראש,https://he.wikipedia.org/wiki/ראש
ראש,9,9,ראש  עירייה,https://he.wikipedia.org/wiki/ראש  עירייה
ראש,9,9,ראש (כתב עת),https://he.wikipedia.org/wiki/ראש (כתב עת)
ראש,9,9,ראש (להקה),https://he.wikipedia.org/wiki/ראש (להקה)
ראש,9,9,ראש (מנהיג),https://he.wikipedia.org/wiki/ראש (מנהיג)
ראש,9,9,ראש (עיירה),https://he.wikipedia.org/wiki/ראש (עיירה)
ראש,9,9,ראש המטה הכללי הרוסי,https://he.wikipedia.org/wiki/ראש המטה הכללי הרוסי
ראש,9,9,ראש העיר,https://he.wikipedia.org/wiki/ראש העיר
ראש,9,9,ראש חודש,https://he.wikipedia.org/wiki/ראש חודש
ראש,9,9,ראש ישיבה,https://he.wikipedia.org/wiki/ראש ישיבה
ראש,9,9,ראש מדינה,https://he.wikipedia.org/wiki/ראש מדינה
ראש,9,9,ראש ממשלה,https://he.wikipedia.org/wiki/ראש ממשלה
ראש,9,9,ראש ממשלת ישראל,https://he.wikipedia.org/wiki/ראש ממשלת ישראל
ראש,9,9,ראש ממשלת צרפת,https://he.wikipedia.org/wiki/ראש ממשלת צרפת
ראש,9,9,ראש עיר,https://he.wikipedia.org/wiki/ראש עיר
ראש,9,9,ראש עירייה,https://he.wikipedia.org/wiki/ראש עירייה
ראש,9,9,ראש קרבי,https://he.wikipedia.org/wiki/ראש קרבי
ראש,9,9,ריצ'רד ראש,https://he.wikipedia.org/wiki/ריצ'רד ראש
תלמידו,10,10,מתמחה,https://he.wikipedia.org/wiki/מתמחה
תלמידו,10,10,תלמיד חבר,https://he.wikipedia.org/wiki/תלמיד חבר
תלמידו,10,10,תלמיד חכם,https://he.wikipedia.org/wiki/תלמיד חכם
יוסף,11,11,דוד יוסף (ראש עירייה),https://he.wikipedia.org/wiki/דוד יוסף (ראש עירייה)
יוסף,11,11,יוסף,https://he.wikipedia.org/wiki/יוסף
יוסף,11,11,יוסף (אופרה),https://he.wikipedia.org/wiki/יוסף (אופרה)
יוסף,11,11,יוסף (אחי הורדוס),https://he.wikipedia.org/wiki/יוסף (אחי הורדוס)
יוסף,11,11,יוסף (אסלאם),https://he.wikipedia.org/wiki/יוסף (אסלאם)
יוסף,11,11,יוסף (בעל שלומית),https://he.wikipedia.org/wiki/יוסף (בעל שלומית)
יוסף,11,11,יוסף (דמות),https://he.wikipedia.org/wiki/יוסף (דמות)
יוסף,11,11,יוסף (מעצב אופנה),https://he.wikipedia.org/wiki/יוסף (מעצב אופנה)
יוסף,11,11,יוסף (פטריארך),https://he.wikipedia.org/wiki/יוסף (פטריארך)
יוסף,11,11,יוסף אבן וירגה,https://he.wikipedia.org/wiki/יוסף אבן וירגה
יוסף,11,11,יוסף אגנניהו,https://he.wikipedia.org/wiki/יוסף אגנניהו
יוסף,11,11,יוסף אונגר,https://he.wikipedia.org/wiki/יוסף אונגר
יוסף,11,11,יוסף בוסל,https://he.wikipedia.org/wiki/יוסף בוסל
יוסף,11,11,יוסף ביילין,https://he.wikipedia.org/wiki/יוסף ביילין
יוסף,11,11,יוסף בן מתתיהו,https://he.wikipedia.org/wiki/יוסף בן מתתיהו
יוסף,11,11,יוסף בר-יוסף,https://he.wikipedia.org/wiki/יוסף בר-יוסף
יוסף,11,11,יוסף ברוצ'ינר,https://he.wikipedia.org/wiki/יוסף ברוצ'ינר
