Mention,Start index,End index,Title,Wikipedia link
היה,0,0,התאזרחות,https://he.wikipedia.org/wiki/התאזרחות
אביי,1,1,אביי,https://he.wikipedia.org/wiki/אביי
אביי,1,1,אביי (מחוז),https://he.wikipedia.org/wiki/אביי (מחוז)
חייא,2,2,חייא,https://he.wikipedia.org/wiki/חייא
חייא,2,2,חייא בר רב,https://he.wikipedia.org/wiki/חייא בר רב
אמורא,3,3,אמורא,https://he.wikipedia.org/wiki/אמורא
אמורא,3,3,אמוראים,https://he.wikipedia.org/wiki/אמוראים
השלישי,4,4,אמריקן פאי 3,https://he.wikipedia.org/wiki/אמריקן פאי 3
השלישי,4,4,בחזרה לעתיד 3,https://he.wikipedia.org/wiki/בחזרה לעתיד 3
השלישי,4,4,בית מנחם אוסישקין (ירושלים),https://he.wikipedia.org/wiki/בית מנחם אוסישקין (ירושלים)
השלישי,4,4,דוקטור,https://he.wikipedia.org/wiki/דוקטור
השלישי,4,4,דוקטורט,https://he.wikipedia.org/wiki/דוקטורט
השלישי,4,4,הארי פוטר והאסיר מאזקבאן,https://he.wikipedia.org/wiki/הארי פוטר והאסיר מאזקבאן
השלישי,4,4,הלגיון השלישי גאליקה,https://he.wikipedia.org/wiki/הלגיון השלישי גאליקה
השלישי,4,4,הספר הלבן (1939),https://he.wikipedia.org/wiki/הספר הלבן (1939)
השלישי,4,4,הקונגרס הציוני העולמי השלישי,https://he.wikipedia.org/wiki/הקונגרס הציוני העולמי השלישי
השלישי,4,4,הקונגרס הציוני השלישי,https://he.wikipedia.org/wiki/הקונגרס הציוני השלישי
השלישי,4,4,הרובע השלישי של פריז,https://he.wikipedia.org/wiki/הרובע השלישי של פריז
השלישי,4,4,השלישי,https://he.wikipedia.org/wiki/השלישי
השלישי,4,4,השלישי (אלבום),https://he.wikipedia.org/wiki/השלישי (אלבום)
השלישי,4,4,השלישי (ספר),https://he.wikipedia.org/wiki/השלישי (ספר)
השלישי,4,4,מטוס קרב של הדור השלישי,https://he.wikipedia.org/wiki/מטוס קרב של הדור השלישי
השלישי,4,4,פעילות על-טבעית 3,https://he.wikipedia.org/wiki/פעילות על-טבעית 3
השלישי,4,4,צי האוויר השלישי (לופטוואפה),https://he.wikipedia.org/wiki/צי האוויר השלישי (לופטוואפה)
השלישי,4,4,רב כהנא (השלישי),https://he.wikipedia.org/wiki/רב כהנא (השלישי)
השלישי,4,4,רבי ירמיה (השלישי),https://he.wikipedia.org/wiki/רבי ירמיה (השלישי)
השלישי,4,4,שנות ה-30 של המאה ה-20,https://he.wikipedia.org/wiki/שנות ה-30 של המאה ה-20
השלישי,4,4,תואר שלישי,https://he.wikipedia.org/wiki/תואר שלישי
פלוגתא,5,5,בר פלוגתא,https://he.wikipedia.org/wiki/בר פלוגתא
יהודה,6,6,אברהם שלום יהודה,https://he.wikipedia.org/wiki/אברהם שלום יהודה
יהודה,6,6,איגרת יהודה,https://he.wikipedia.org/wiki/איגרת יהודה
יהודה,6,6,ארץ יהודה,https://he.wikipedia.org/wiki/ארץ יהודה
יהודה,6,6,ארץ ישראל בתקופה הרומית,https://he.wikipedia.org/wiki/ארץ ישראל בתקופה הרומית
יהודה,6,6,דרום יהודה,https://he.wikipedia.org/wiki/דרום יהודה
יהודה,6,6,הרי יהודה,https://he.wikipedia.org/wiki/הרי יהודה
יהודה,6,6,השפלה,https://he.wikipedia.org/wiki/השפלה
יהודה,6,6,התקופה הרומית בארץ ישראל,https://he.wikipedia.org/wiki/התקופה הרומית בארץ ישראל
יהודה,6,6,חבורת יהודה,https://he.wikipedia.org/wiki/חבורת יהודה
יהודה,6,6,חבל יהודה,https://he.wikipedia.org/wiki/חבל יהודה
יהודה,6,6,יהוד מדינתא,https://he.wikipedia.org/wiki/יהוד מדינתא
יהודה,6,6,יהודה,https://he.wikipedia.org/wiki/יהודה
יהודה,6,6,יהודה (דמות מקראית),https://he.wikipedia.org/wiki/יהודה (דמות מקראית)
יהודה,6,6,יהודה (חבל ארץ),https://he.wikipedia.org/wiki/יהודה (חבל ארץ)
יהודה,6,6,יהודה (פרובינקיה),https://he.wikipedia.org/wiki/יהודה (פרובינקיה)
יהודה,6,6,יהודה (שבט),https://he.wikipedia.org/wiki/יהודה (שבט)
יהודה,6,6,יהודה אבן וירגה,https://he.wikipedia.org/wiki/יהודה אבן וירגה
יהודה,6,6,יהודה איש קריות,https://he.wikipedia.org/wiki/יהודה איש קריות
יהודה,6,6,יהודה בן מרימר,https://he.wikipedia.org/wiki/יהודה בן מרימר
יהודה,6,6,יהודה בן רבי חייא,https://he.wikipedia.org/wiki/יהודה בן רבי חייא
יהודה,6,6,יהודה ברג,https://he.wikipedia.org/wiki/יהודה ברג
יהודה,6,6,יהודה ברוניצקי,https://he.wikipedia.org/wiki/יהודה ברוניצקי
יהודה,6,6,יהודה בריה דרב חייא,https://he.wikipedia.org/wiki/יהודה בריה דרב חייא
יהודה,6,6,יהודה ברנשטיין,https://he.wikipedia.org/wiki/יהודה ברנשטיין
יהודה,6,6,יהודה גרובייס,https://he.wikipedia.org/wiki/יהודה גרובייס
יהודה,6,6,יהודה החסיד,https://he.wikipedia.org/wiki/יהודה החסיד
יהודה,6,6,יהודה המכבי,https://he.wikipedia.org/wiki/יהודה המכבי
יהודה,6,6,יהודה המקבי,https://he.wikipedia.org/wiki/יהודה המקבי
יהודה,6,6,יהודה ושומרון,https://he.wikipedia.org/wiki/יהודה ושומרון
יהודה,6,6,יהודה זיו,https://he.wikipedia.org/wiki/יהודה זיו
יהודה,6,6,יהודה ייטלס,https://he.wikipedia.org/wiki/יהודה ייטלס
יהודה,6,6,יהודה מוזס,https://he.wikipedia.org/wiki/יהודה מוזס
יהודה,6,6,יהודה ריינהרץ,https://he.wikipedia.org/wiki/יהודה ריינהרץ
יהודה,6,6,יהודה רייס,https://he.wikipedia.org/wiki/יהודה רייס
יהודה,6,6,יהודה שרת,https://he.wikipedia.org/wiki/יהודה שרת
יהודה,6,6,מלכות יהודה,https://he.wikipedia.org/wiki/מלכות יהודה
יהודה,6,6,ממלכת החשמונאים,https://he.wikipedia.org/wiki/ממלכת החשמונאים
יהודה,6,6,ממלכת יהודה,https://he.wikipedia.org/wiki/ממלכת יהודה
יהודה,6,6,ממלכת ישראל,https://he.wikipedia.org/wiki/ממלכת ישראל
יהודה,6,6,נציבות יהודה,https://he.wikipedia.org/wiki/נציבות יהודה
יהודה,6,6,פרובינקיה יודיאה,https://he.wikipedia.org/wiki/פרובינקיה יודיאה
יהודה,6,6,פרובינקיית יהודה,https://he.wikipedia.org/wiki/פרובינקיית יהודה
יהודה,6,6,שבט יהודה,https://he.wikipedia.org/wiki/שבט יהודה
יהודה,6,6,שיבת ציון,https://he.wikipedia.org/wiki/שיבת ציון
יהודה,6,6,תקופת בית שני,https://he.wikipedia.org/wiki/תקופת בית שני
יהודה,6,6,תקופת הנציבות,https://he.wikipedia.org/wiki/תקופת הנציבות
בר,7,7,בר,https://he.wikipedia.org/wiki/בר
בר,7,7,בר (יחידה),https://he.wikipedia.org/wiki/בר (יחידה)
בר,7,7,בר (מונטנגרו),https://he.wikipedia.org/wiki/בר (מונטנגרו)
בר,7,7,בר (מחוז),https://he.wikipedia.org/wiki/בר (מחוז)
בר,7,7,בר (מידה),https://he.wikipedia.org/wiki/בר (מידה)
בר,7,7,בר (נהר),https://he.wikipedia.org/wiki/בר (נהר)
בר,7,7,בר (עסק),https://he.wikipedia.org/wiki/בר (עסק)
בר,7,7,בר מצווה,https://he.wikipedia.org/wiki/בר מצווה
בר,7,7,בר שפע,https://he.wikipedia.org/wiki/בר שפע
בר,7,7,חזיר בר,https://he.wikipedia.org/wiki/חזיר בר
בר,7,7,חיית בר,https://he.wikipedia.org/wiki/חיית בר
בר,7,7,חיליק בר,https://he.wikipedia.org/wiki/חיליק בר
בר,7,7,חית בר,https://he.wikipedia.org/wiki/חית בר
בר,7,7,מועדון לילה,https://he.wikipedia.org/wiki/מועדון לילה
בר,7,7,נתיב (לשכת הקשר),https://he.wikipedia.org/wiki/נתיב (לשכת הקשר)
בר,7,7,פאב,https://he.wikipedia.org/wiki/פאב
בר,7,7,פרידריך בר,https://he.wikipedia.org/wiki/פרידריך בר
בר,7,7,צמח בר,https://he.wikipedia.org/wiki/צמח בר
